doc_id,entity_text,label,scope_tag,context,start_char,end_char
2,INL,ORG,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",0,3
2,U.S. Department of Energy National Laboratory,ORG,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",9,54
2,Battelle Energy Alliance,ORG,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",67,91
2,LLC INL,ORG,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",93,100
2,2023,CARDINAL,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",125,129
2,Critical Materials Assessment,ORG,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",130,159
2,July 2023,DATE,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",160,169
2,Diana Bauer,PERSON,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",170,181
2,Helena Khazdozian,PERSON,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",183,200
2,Jeremy Mehta,PERSON,,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISCLAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government.",202,214
