doc_id,entity_text,label,scope_tag,context,start_char,end_char,value_numeric,unit,canonical_form,resolved_property,review_flag,canonical_entity
2,reactor,APPLICATION,,Alternating current ADCU Autonomous driving control unit AEC Alkaline electrolyzer AEMEC Anion exchange membrane electrolyzer AFC Alkaline fuel cells Ag AGR Silver Advanced gas-cooled reactor AHSS Advanced high-strength steel Al Aluminum AlGaAs,6396,6403,,,reactor,,,reactor
2,AlNiCo,COMPETING_MATERIAL,,Aluminum gallium arsenide AlGaInP Aluminum gallium indium phosphide AlNiCo,6525,6531,,,AlNiCo,,,AlNiCo
2,BEV,APPLICATION,,"Aluminum nickel cobalt APS Announced Pledged Scenarios B Boron BAU Business-as-usual BEV Battery-powered electric vehicle BLDC Brushless direct current BWR Boiling water reactor CAGR Compound Annual Growth Rate CANDU Canadian heavy water reactor CCUS Carbon capture, utilization, and storage CdTe Cadmium telluride CIGS Copper indium gallium selenide CLED Carbon-dot light-emitting diode CM Critical materials CMA Critical Materials Assessment CMS Critical Materials Strategy Co Cobalt CO Carbon monoxide CO2 COVID-19 Carbon dioxide Coronavirus Disease 2019 U.S. Department of Energy, Critical Materials Assessment 2023",6617,6620,,,BEV,,,BEV
2,electric vehicle,APPLICATION,,"Aluminum nickel cobalt APS Announced Pledged Scenarios B Boron BAU Business-as-usual BEV Battery-powered electric vehicle BLDC Brushless direct current BWR Boiling water reactor CAGR Compound Annual Growth Rate CANDU Canadian heavy water reactor CCUS Carbon capture, utilization, and storage CdTe Cadmium telluride CIGS Copper indium gallium selenide CLED Carbon-dot light-emitting diode CM Critical materials CMA Critical Materials Assessment CMS Critical Materials Strategy Co Cobalt CO Carbon monoxide CO2 COVID-19 Carbon dioxide Coronavirus Disease 2019 U.S. Department of Energy, Critical Materials Assessment 2023",6637,6653,,,electric vehicle,,,electric vehicle
2,reactor,APPLICATION,,"Aluminum nickel cobalt APS Announced Pledged Scenarios B Boron BAU Business-as-usual BEV Battery-powered electric vehicle BLDC Brushless direct current BWR Boiling water reactor CAGR Compound Annual Growth Rate CANDU Canadian heavy water reactor CCUS Carbon capture, utilization, and storage CdTe Cadmium telluride CIGS Copper indium gallium selenide CLED Carbon-dot light-emitting diode CM Critical materials CMA Critical Materials Assessment CMS Critical Materials Strategy Co Cobalt CO Carbon monoxide CO2 COVID-19 Carbon dioxide Coronavirus Disease 2019 U.S. Department of Energy, Critical Materials Assessment 2023",6702,6709,,,reactor,,,reactor
2,reactor,APPLICATION,,"Aluminum nickel cobalt APS Announced Pledged Scenarios B Boron BAU Business-as-usual BEV Battery-powered electric vehicle BLDC Brushless direct current BWR Boiling water reactor CAGR Compound Annual Growth Rate CANDU Canadian heavy water reactor CCUS Carbon capture, utilization, and storage CdTe Cadmium telluride CIGS Copper indium gallium selenide CLED Carbon-dot light-emitting diode CM Critical materials CMA Critical Materials Assessment CMS Critical Materials Strategy Co Cobalt CO Carbon monoxide CO2 COVID-19 Carbon dioxide Coronavirus Disease 2019 U.S. Department of Energy, Critical Materials Assessment 2023",6770,6777,,,reactor,,,reactor
2,generator,APPLICATION,,iv CTC Continuously transposed copper Cu Copper CZTS Copper zinc tin sulfide DC Direct current DFIG Doubly fed induction generator DOE U.S. Department of Energy DRC DRI Democratic Republic of the Congo Direct reduction of iron DSSC Dye sensitized solar cell Dy Dysprosium EESG Electrically excited synchronous generator EIA U.S. Energy Information Administration EO Executive Order EPA U.S. Environmental Protection Agency ES Electrical steel EU European Union EV Electric vehicle F Fluorine FBR Fast breeder reactor FCEV Fuel-cell electric vehicle Fe Iron Ga Gallium GaAs Gallium arsenide GaAsP Gallium arsenide,7273,7282,,,generator,,,generator
2,generator,APPLICATION,,iv CTC Continuously transposed copper Cu Copper CZTS Copper zinc tin sulfide DC Direct current DFIG Doubly fed induction generator DOE U.S. Department of Energy DRC DRI Democratic Republic of the Congo Direct reduction of iron DSSC Dye sensitized solar cell Dy Dysprosium EESG Electrically excited synchronous generator EIA U.S. Energy Information Administration EO Executive Order EPA U.S. Environmental Protection Agency ES Electrical steel EU European Union EV Electric vehicle F Fluorine FBR Fast breeder reactor FCEV Fuel-cell electric vehicle Fe Iron Ga Gallium GaAs Gallium arsenide GaAsP Gallium arsenide,7462,7471,,,generator,,,generator
2,EV,APPLICATION,,iv CTC Continuously transposed copper Cu Copper CZTS Copper zinc tin sulfide DC Direct current DFIG Doubly fed induction generator DOE U.S. Department of Energy DRC DRI Democratic Republic of the Congo Direct reduction of iron DSSC Dye sensitized solar cell Dy Dysprosium EESG Electrically excited synchronous generator EIA U.S. Energy Information Administration EO Executive Order EPA U.S. Environmental Protection Agency ES Electrical steel EU European Union EV Electric vehicle F Fluorine FBR Fast breeder reactor FCEV Fuel-cell electric vehicle Fe Iron Ga Gallium GaAs Gallium arsenide GaAsP Gallium arsenide,7613,7615,,,EV,,,EV
2,reactor,APPLICATION,,iv CTC Continuously transposed copper Cu Copper CZTS Copper zinc tin sulfide DC Direct current DFIG Doubly fed induction generator DOE U.S. Department of Energy DRC DRI Democratic Republic of the Congo Direct reduction of iron DSSC Dye sensitized solar cell Dy Dysprosium EESG Electrically excited synchronous generator EIA U.S. Energy Information Administration EO Executive Order EPA U.S. Environmental Protection Agency ES Electrical steel EU European Union EV Electric vehicle F Fluorine FBR Fast breeder reactor FCEV Fuel-cell electric vehicle Fe Iron Ga Gallium GaAs Gallium arsenide GaAsP Gallium arsenide,7661,7668,,,reactor,,,reactor
2,electric vehicle,APPLICATION,,iv CTC Continuously transposed copper Cu Copper CZTS Copper zinc tin sulfide DC Direct current DFIG Doubly fed induction generator DOE U.S. Department of Energy DRC DRI Democratic Republic of the Congo Direct reduction of iron DSSC Dye sensitized solar cell Dy Dysprosium EESG Electrically excited synchronous generator EIA U.S. Energy Information Administration EO Executive Order EPA U.S. Environmental Protection Agency ES Electrical steel EU European Union EV Electric vehicle F Fluorine FBR Fast breeder reactor FCEV Fuel-cell electric vehicle Fe Iron Ga Gallium GaAs Gallium arsenide GaAsP Gallium arsenide,7684,7700,,,electric vehicle,,,electric vehicle
2,reactor,APPLICATION,,phosphide GaInP Gallium indium phosphide GaN Gallium nitride GaP Gallium phosphide GCR Gas-cooled reactor GDP Gross domestic product Ge,7863,7870,,,reactor,,,reactor
2,GOES,COMPETING_MATERIAL,,"Germanium GE General Electric GOES Grain-oriented electrical steel U.S. Department of Energy, Critical Materials Assessment 2023 v GW Gigawatt GWe HALEU Gigawatt-electric High-assay low-enriched uranium HDV HEV Heavy-duty vehicle Hybrid electric vehicle HHI HTGR Herfindahl-Hirschman Index High-temperature gas-cooled reactor HVAC High voltage alternating current HVDC High voltage direct current Hz Hertz IAEA International Atomic Energy Agency IC Integrated circuit ICE ICEV Internal combustion engine Internal combustion engine vehicle ICFB Iron-chromium flow battery ICFV Iron-chromium flow battery IEA International Energy Agency IGBT Insulated-gate bipolar transistor IGCT Integrated gate-commutated thyristor In Indium InGaN Indium gallium nitride IPM Internal permanent magnet motor Ir Iridium IRENA kt International Renewable Energy Agency Kilo metric tons",7931,7935,,,GOES,,,grain-oriented electric steel
2,HEV,APPLICATION,,"Germanium GE General Electric GOES Grain-oriented electrical steel U.S. Department of Energy, Critical Materials Assessment 2023 v GW Gigawatt GWe HALEU Gigawatt-electric High-assay low-enriched uranium HDV HEV Heavy-duty vehicle Hybrid electric vehicle HHI HTGR Herfindahl-Hirschman Index High-temperature gas-cooled reactor HVAC High voltage alternating current HVDC High voltage direct current Hz Hertz IAEA International Atomic Energy Agency IC Integrated circuit ICE ICEV Internal combustion engine Internal combustion engine vehicle ICFB Iron-chromium flow battery ICFV Iron-chromium flow battery IEA International Energy Agency IGBT Insulated-gate bipolar transistor IGCT Integrated gate-commutated thyristor In Indium InGaN Indium gallium nitride IPM Internal permanent magnet motor Ir Iridium IRENA kt International Renewable Energy Agency Kilo metric tons",8108,8111,,,HEV,,,HEV
2,electric vehicle,APPLICATION,,"Germanium GE General Electric GOES Grain-oriented electrical steel U.S. Department of Energy, Critical Materials Assessment 2023 v GW Gigawatt GWe HALEU Gigawatt-electric High-assay low-enriched uranium HDV HEV Heavy-duty vehicle Hybrid electric vehicle HHI HTGR Herfindahl-Hirschman Index High-temperature gas-cooled reactor HVAC High voltage alternating current HVDC High voltage direct current Hz Hertz IAEA International Atomic Energy Agency IC Integrated circuit ICE ICEV Internal combustion engine Internal combustion engine vehicle ICFB Iron-chromium flow battery ICFV Iron-chromium flow battery IEA International Energy Agency IGBT Insulated-gate bipolar transistor IGCT Integrated gate-commutated thyristor In Indium InGaN Indium gallium nitride IPM Internal permanent magnet motor Ir Iridium IRENA kt International Renewable Energy Agency Kilo metric tons",8138,8154,,,electric vehicle,,,electric vehicle
2,reactor,APPLICATION,,"Germanium GE General Electric GOES Grain-oriented electrical steel U.S. Department of Energy, Critical Materials Assessment 2023 v GW Gigawatt GWe HALEU Gigawatt-electric High-assay low-enriched uranium HDV HEV Heavy-duty vehicle Hybrid electric vehicle HHI HTGR Herfindahl-Hirschman Index High-temperature gas-cooled reactor HVAC High voltage alternating current HVDC High voltage direct current Hz Hertz IAEA International Atomic Energy Agency IC Integrated circuit ICE ICEV Internal combustion engine Internal combustion engine vehicle ICFB Iron-chromium flow battery ICFV Iron-chromium flow battery IEA International Energy Agency IGBT Insulated-gate bipolar transistor IGCT Integrated gate-commutated thyristor In Indium InGaN Indium gallium nitride IPM Internal permanent magnet motor Ir Iridium IRENA kt International Renewable Energy Agency Kilo metric tons",8219,8226,,,reactor,,,reactor
