entity_text,thickness_mm,relative_price_eur_kg
15HTH1000,0.15,2.333
15HST780Y,0.15,2.333
17A319,0.17,2.059
17A338,0.17,2.059
20HTH1500,0.2,1.75
20HTH1800,0.2,1.75
20HTH1200,0.2,1.75
NO20,0.2,1.75
20HST570Y,0.2,1.75
20HST780Y,0.2,1.75
35A210,0.35,1.0
M270-35A,0.35,1.0
35H series,0.35,1.0
35H250,0.35,1.0
35A300,0.35,1.0
35HXT680,0.35,1.0
M300-35A,0.35,1.0
M235-35A,0.35,1.0
50H600,0.5,0.7
50A470,0.5,0.7
50H270,0.5,0.7
50H310,0.5,0.7
50A1300,0.5,0.7
M270-50A,0.5,0.7
50A1000,0.5,0.7
50A700,0.5,0.7
50JNE300,0.5,0.7
